OldSubject,Old_Age,Old_Education,YoungSubject,Young_Age,Young_Education,ShipleyOld,ShipleyYoung
101,66,20,60,21,15,,35
102,67,18,61,22,15,,38
103,66,16,62,30,16,,38
104,66,18,63,22,15,,36
105,65,18,64,21,4,,39
107,65,18,65,19,14,,36
108,67,16,66,20,15,,31
109,67,16,67,21,4,,35
110,70,16,68,19,13,,29
111,65,15,69,19,14,,35
112,69,19,70,21,15,,34
113,71,20,71,20,15,,36
114,67,13,72,19,12,,31
115,67,12,74,22,16,,37
117,68,14,75,19,14,,37
118,73,14,76,20,16,,32
119,69,19,77,19,12,,38
120,70,14,78,20,15,,38
121M,70,12,79,21,16,,34
122M,68,16,80,22,16,,36
123M,68,23,81,18,14,,35
124M,70,18,82,22,16,,34
121,65,16,83,18,13,34,33
122,74,12,84,21,16,37,34
123,75,16,85,22,15,32,30
124,65,16,86,21,16,36,30
125,67,16,87,19,16,36,35
126,66,16,88,22,17,34,29
127,83,13,89,20,13,35,34
128,72,22,90,19,13,35,28
129,70,12,91,18,13,34,34
130,83,16,92,20,14,38,31
131,75,16,93,18,12,35,31
132,85,16,94,18,12,38,26
,,,95,19,13,,36
,,,97,18,13,,36
