Target,WordType,Proper,TargetNo
abacus,N,Word,1
abdicate,V,Word,2
abstain,V,Word,3
accolade,N,Word,4
advocate,V,Word,5
Alcott,PN,ProperName,6
allocation,N,Word,7
anachronism,N,Word,8
anagram,N,Word,9
Andes,PN,ProperName,10
auspicious,Adj,Word,11
banal,Adj,Word,12
Bangkok,PN,ProperName,13
barter,V,Word,14
Batista,PN,ProperName,15
bewilder,V,Word,16
binomial,N,Word,17
Caracas,PN,ProperName,18
carcass,N,Word,19
Carroll,PN,ProperName,20
Carver,PN,ProperName,21
Casablanca,PN,ProperName,22
chameleon,N,Word,23
Clay,PN,ProperName,24
Clemens,PN,ProperName,25
congruent,Adj,Word,26
covenant,N,Word,27
Cummings,PN,ProperName,28
Dante,PN,ProperName,29
Darfur,PN,ProperName,30
Dean,PN,ProperName,31
default,V,Word,32
deference,N,Word,33
denigrate,V,Word,34
deplete,V,Word,35
diverge,V,Word,36
eccentric,Adj,Word,37
elucidate,V,Word,38
embryology,N,Word,39
epithet,N,Word,40
facetious,Adj,Word,41
fervent,Adj,Word,42
foliage,N,Word,43
fortuitous,Adj,Word,44
Garland,PN,ProperName,45
Gershwin,PN,ProperName,46
gosling,N,Word,47
Hale,PN,ProperName,48
Hancock,PN,ProperName,49
Helsinki,PN,ProperName,50
hemorrhage,N,Word,51
herbaceous,Adj,Word,52
hoist,V,Word,53
idiosyncrasy,N,Word,54
injudicious,Adj,Word,55
instigate,V,Word,56
interject,V,Word,57
libel,N,Word,58
Lindbergh,PN,ProperName,59
loquacious,Adj,Word,60
Mandela,PN,ProperName,61
meager,Adj,Word,62
Miller,PN,ProperName,63
mince,V,Word,64
monotony,N,Word,65
Nairobi,PN,ProperName,66
nullify,V,Word,67
Nuremberg,PN,ProperName,68
O'Connor,PN,ProperName,69
obscure,Adj,Word,70
obstinate,V,Word,71
omnipotent,Adj,Word,72
ornithology,N,Word,73
ostentatious,Adj,Word,74
Oswald,PN,ProperName,75
Ottawa,PN,ProperName,76
panacea,N,Word,77
paragon,N,Word,78
polygamy,N,Word,79
Prague,PN,ProperName,80
precocious,Adj,Word,81
pretentious,Adj,Word,82
prophecy,N,Word,83
proposition,N,Word,84
Quayle,PN,ProperName,85
recapitulate,V,Word,86
Revere,PN,ProperName,87
Robinson,PN,ProperName,88
Seoul,PN,ProperName,89
Shaw,PN,ProperName,90
Sicily,PN,ProperName,91
Skywalker,PN,ProperName,92
Stockholm,PN,ProperName,93
taciturn,Adj,Word,94
Thoreau,PN,ProperName,95
tic,N,Word,96
tsunami,N,Word,97
Watson,PN,ProperName,98
Wayne,PN,ProperName,99
Yellowstone,PN,ProperName,100
