AgeGroup,StudyNo,value.Target,value.TargetNo,value.WordType,value.Proper,value.totalitems,value.correctitems,value.wrongitems,value.targetacc,value.rtrials,value.ptrials,value.btrials,value.utrials,value.rcorrecttrials,value.pcorrecttrials,value.bcorrecttrials,value.ucorrecttrials,value.racc,value.pacc,value.bacc,value.uacc,value.rmcq,value.pmcq,value.bmcq,value.umcq,value.r_know,value.r_dontknow,value.r_other,value.r_TOT,value.p_know,value.p_dontknow,value.p_other,value.p_TOT,value.b_know,value.b_dontknow,value.b_other,value.b_TOT,value.u_know,value.u_dontknow,value.u_other,value.u_TOT,value.correctmcq,value.wrongmcq,value.wrong_r,value.wrong_p,value.wrong_b,value.wrong_u,value.wrong_r_r,value.wrong_r_p,value.wrong_r_b,value.wrong_r_u,value.wrong_r_x,value.wrong_p_r,value.wrong_p_p,value.wrong_p_b,value.wrong_p_u,value.wrong_p_x,value.wrong_b_r,value.wrong_b_p,value.wrong_b_b,value.wrong_b_u,value.wrong_b_x,value.wrong_u_r,value.wrong_u_p,value.wrong_u_b,value.wrong_u_u,value.wrong_u_x,visible,value.know,value.dontknow,value.other,value.TOT,know_r_percent,know_p_percent,know_b_percent,know_u_percent,dontknow_r_percent,dontknow_p_percent,dontknow_b_percent,dontknow_u_percent,other_r_percent,other_p_percent,other_b_percent,other_u_percent,TOT_r_percent,TOT_p_percent,TOT_b_percent,TOT_u_percent,r_know_new,r_dontknow_new,r_other_new,r_TOT_new,p_know_new,p_dontknow_new,p_other_new,p_TOT_new,b_know_new,b_dontknow_new,b_other_new,b_TOT_new,u_know_new,u_dontknow_new,u_other_new,u_TOT_new
Old,4,abacus,1,N,Word,36,18,18,0.5,9,9,9,9,3,7,2,6,0.333333333,0.777777778,0.222222222,0.666666667,0.666666667,0.777777778,0.444444444,0.888888889,4,4,1,0,7,2,0,0,6,2,0,1,8,1,0,0,25,11,3,2,5,1,0.666666667,0,0,0,0.333333333,0.5,0,0,0,0.5,0.8,0,0.2,0,0,1,0,0,0,0,FALSE,25,9,1,1,0.16,0.28,0.24,0.32,0.444444444,0.222222222,0.222222222,0.111111111,1,0,0,0,0,0,1,0,0.444444444,0.444444444,0.111111111,0,0.777777778,0.222222222,0,0,0.666666667,0.222222222,0,0.111111111,0.888888889,0.111111111,0,0
Old,4,abdicate,2,V,Word,36,16,20,0.444444444,9,9,9,9,3,6,3,4,0.333333333,0.666666667,0.333333333,0.444444444,0.666666667,0.888888889,0.666666667,1,4,3,1,1,6,3,0,0,6,1,0,2,2,3,1,3,29,7,3,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0.666666667,0,0.333333333,NA,NA,NA,NA,NA,FALSE,18,10,2,6,0.222222222,0.333333333,0.333333333,0.111111111,0.3,0.3,0.1,0.3,0.5,0,0,0.5,0.166666667,0,0.333333333,0.5,0.444444444,0.333333333,0.111111111,0.111111111,0.666666667,0.333333333,0,0,0.666666667,0.111111111,0,0.222222222,0.222222222,0.333333333,0.111111111,0.333333333
Old,4,abstain,3,V,Word,36,5,31,0.138888889,9,9,9,9,0,3,0,2,0,0.333333333,0,0.222222222,0.555555556,0.777777778,0.111111111,0.888888889,4,4,0,1,3,5,1,0,2,6,0,1,4,4,0,1,21,15,4,2,8,1,0.75,0,0,0,0.25,0.5,0,0.5,0,0,0,0,0.75,0,0.25,0,0,1,0,0,FALSE,13,19,1,3,0.307692308,0.230769231,0.153846154,0.307692308,0.210526316,0.263157895,0.315789474,0.210526316,0,1,0,0,0.333333333,0,0.333333333,0.333333333,0.444444444,0.444444444,0,0.111111111,0.333333333,0.555555556,0.111111111,0,0.222222222,0.666666667,0,0.111111111,0.444444444,0.444444444,0,0.111111111
Old,4,accolade,4,N,Word,36,2,34,0.055555556,9,9,9,9,1,0,1,0,0.111111111,0,0.111111111,0,0.555555556,0.444444444,0.444444444,0.777777778,4,4,0,1,1,7,0,1,5,3,1,0,4,5,0,0,20,16,4,5,5,2,0.75,0,0.25,0,0,1,0,0,0,0,0.2,0,0.6,0,0.2,0.5,0,0.5,0,0,FALSE,14,19,1,2,0.285714286,0.071428571,0.357142857,0.285714286,0.210526316,0.368421053,0.157894737,0.263157895,0,0,1,0,0.5,0.5,0,0,0.444444444,0.444444444,0,0.111111111,0.111111111,0.777777778,0,0.111111111,0.555555556,0.333333333,0.111111111,0,0.444444444,0.555555556,0,0
Old,4,advocate,5,V,Word,36,3,33,0.083333333,9,9,9,9,1,0,2,0,0.111111111,0,0.222222222,0,0.777777778,1,0.888888889,1,3,5,0,1,2,6,0,1,3,6,0,0,2,4,1,2,33,3,2,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,FALSE,10,21,1,4,0.3,0.2,0.3,0.2,0.238095238,0.285714286,0.285714286,0.19047619,0,0,0,1,0.25,0.25,0,0.5,0.333333333,0.555555556,0,0.111111111,0.222222222,0.666666667,0,0.111111111,0.333333333,0.666666667,0,0,0.222222222,0.444444444,0.111111111,0.222222222
Old,4,Alcott,6,PN,ProperName,36,13,23,0.361111111,9,9,9,9,1,5,2,5,0.111111111,0.555555556,0.222222222,0.555555556,0.555555556,0.888888889,0.555555556,0.888888889,3,2,0,4,5,2,0,2,4,4,1,0,5,3,0,1,26,10,4,1,4,1,0.25,0,0.75,0,0,0,0,1,0,0,0.5,0,0.25,0,0.25,0,0,0,0,1,FALSE,17,11,1,7,0.176470588,0.294117647,0.235294118,0.294117647,0.181818182,0.181818182,0.363636364,0.272727273,0,0,1,0,0.571428571,0.285714286,0,0.142857143,0.333333333,0.222222222,0,0.444444444,0.555555556,0.222222222,0,0.222222222,0.444444444,0.444444444,0.111111111,0,0.555555556,0.333333333,0,0.111111111
Old,4,allocation,7,N,Word,36,2,34,0.055555556,9,9,9,9,0,0,2,0,0,0,0.222222222,0,0.444444444,0.555555556,0.555555556,0.555555556,3,2,2,2,3,5,0,1,4,4,0,1,0,7,1,1,19,17,5,4,4,4,0,0,1,0,0,0,0,0.75,0,0.25,0.25,0,0.75,0,0,0,0,0.5,0,0.5,FALSE,10,18,3,5,0.3,0.3,0.4,0,0.111111111,0.277777778,0.222222222,0.388888889,0.666666667,0,0,0.333333333,0.4,0.2,0.2,0.2,0.333333333,0.222222222,0.222222222,0.222222222,0.333333333,0.555555556,0,0.111111111,0.444444444,0.444444444,0,0.111111111,0,0.777777778,0.111111111,0.111111111
Old,4,anachronism,8,N,Word,36,2,34,0.055555556,9,9,9,9,0,1,1,0,0,0.111111111,0.111111111,0,0.333333333,0.444444444,0.444444444,0.888888889,1,7,0,1,4,4,1,0,3,5,0,1,1,5,1,2,19,17,6,5,5,1,0.333333333,0,0.666666667,0,0,0.2,0.2,0.6,0,0,0.2,0,0.6,0,0.2,1,0,0,0,0,FALSE,9,21,2,4,0.111111111,0.444444444,0.333333333,0.111111111,0.333333333,0.19047619,0.238095238,0.238095238,0,0.5,0,0.5,0.25,0,0.25,0.5,0.111111111,0.777777778,0,0.111111111,0.444444444,0.444444444,0.111111111,0,0.333333333,0.555555556,0,0.111111111,0.111111111,0.555555556,0.111111111,0.222222222
Old,4,anagram,9,N,Word,36,3,33,0.083333333,9,9,9,9,0,2,1,0,0,0.222222222,0.111111111,0,0.555555556,0.777777778,0.555555556,0.777777778,1,8,0,0,3,5,0,1,3,5,1,0,0,6,0,3,24,12,4,2,4,2,0.25,0,0.5,0,0.25,0,0,1,0,0,0.25,0,0.5,0,0.25,0.5,0,0.5,0,0,FALSE,7,24,1,4,0.142857143,0.428571429,0.428571429,0,0.333333333,0.208333333,0.208333333,0.25,0,0,1,0,0,0.25,0,0.75,0.111111111,0.888888889,0,0,0.333333333,0.555555556,0,0.111111111,0.333333333,0.555555556,0.111111111,0,0,0.666666667,0,0.333333333
Old,4,Andes,10,PN,ProperName,36,20,16,0.555555556,9,9,9,9,4,5,6,5,0.444444444,0.555555556,0.666666667,0.555555556,0.777777778,0.777777778,0.888888889,1,6,3,0,0,7,2,0,0,7,2,0,0,5,3,0,1,31,5,2,2,1,0,1,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0,NA,NA,NA,NA,NA,FALSE,25,10,0,1,0.24,0.28,0.28,0.2,0.3,0.2,0.2,0.3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,1,0.666666667,0.333333333,0,0,0.777777778,0.222222222,0,0,0.777777778,0.222222222,0,0,0.555555556,0.333333333,0,0.111111111
Old,4,auspicious,11,Adj,Word,36,0,36,0,9,9,9,9,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0.111111111,0.444444444,3,3,2,1,1,5,2,1,4,4,1,0,1,7,1,0,9,27,7,7,8,5,0.857142857,0,0,0,0.142857143,0.571428571,0.285714286,0,0,0.142857143,0.375,0,0.5,0,0.125,1,0,0,0,0,FALSE,9,19,6,2,0.333333333,0.111111111,0.444444444,0.111111111,0.157894737,0.263157895,0.210526316,0.368421053,0.333333333,0.333333333,0.166666667,0.166666667,0.5,0.5,0,0,0.333333333,0.333333333,0.222222222,0.111111111,0.111111111,0.555555556,0.222222222,0.111111111,0.444444444,0.444444444,0.111111111,0,0.111111111,0.777777778,0.111111111,0
