,value.AgeGroup,value.Subject,value.StudyNo,value.PrimeInstruction,value.totalitems,value.correctitems,value.wrongitems,value.targetacc,value.rtrials,value.ptrials,value.btrials,value.utrials,value.rcorrecttrials,value.pcorrecttrials,value.bcorrecttrials,value.ucorrecttrials,value.racc,value.pacc,value.bacc,value.uacc,value.rmcq,value.pmcq,value.bmcq,value.umcq,value.r_know,value.r_dontknow,value.r_other,value.r_TOT,value.p_know,value.p_dontknow,value.p_other,value.p_TOT,value.b_know,value.b_dontknow,value.b_other,value.b_TOT,value.u_know,value.u_dontknow,value.u_other,value.u_TOT,value.correct_r,value.correct_p,value.correct_b,value.correct_u,value.wrong_r,value.wrong_p,value.wrong_b,value.wrong_u,value.wrong_r_r,value.wrong_r_p,value.wrong_r_b,value.wrong_r_u,value.wrong_r_x,value.wrong_p_r,value.wrong_p_p,value.wrong_p_b,value.wrong_p_u,value.wrong_p_x,value.wrong_b_r,value.wrong_b_p,value.wrong_b_b,value.wrong_b_u,value.wrong_b_x,value.wrong_u_r,value.wrong_u_p,value.wrong_u_b,value.wrong_u_u,value.wrong_u_x,value.prop_r_r,value.prop_r_p,value.prop_r_b,value.prop_r_u,value.prop_r_x,value.prop_p_r,value.prop_p_p,value.prop_p_b,value.prop_p_u,value.prop_p_x,value.prop_b_r,value.prop_b_p,value.prop_b_b,value.prop_b_u,value.prop_b_x,value.prop_u_r,value.prop_u_p,value.prop_u_b,value.prop_u_u,value.prop_u_x,value.know,value.dontknow,value.other,value.TOT,visible,condTOTprop,num_r_TOT,num_p_TOT,num_b_TOT,num_u_TOT,condpropTOT_r,condpropTOT_p,condpropTOT_b,condpropTOT_u,know_r_percent,know_p_percent,know_b_percent,know_u_percent,dontknow_r_percent,dontknow_p_percent,dontknow_b_percent,dontknow_u_percent,other_r_percent,other_p_percent,other_b_percent,other_u_percent,TOT_r_percent,TOT_p_percent,TOT_b_percent,TOT_u_percent,r_know_new,r_dontknow_new,r_other_new,r_TOT_new,p_know_new,p_dontknow_new,p_other_new,p_TOT_new,b_know_new,b_dontknow_new,b_other_new,b_TOT_new,u_know_new,u_dontknow_new,u_other_new,u_TOT_new
142,Young,9,1,NoInstruction,100,17,83,0.17,25,25,25,25,2,4,3,8,0.08,0.16,0.12,0.32,0.68,0.88,0.76,0.84,7,11,4,3,3,8,7,7,9,6,4,6,8,8,4,5,17,22,19,21,8,3,6,4,7,0,1,0,0,1,1,1,0,0,4,0,2,0,0,0,1,3,0,0,0.875,0,0.125,0,0,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0,0.333333333,0,0,0,0.25,0.75,0,0,27,33,19,21,FALSE,0.287671233,3,7,6,5,0.166666667,0.318181818,0.375,0.294117647,0.259259259,0.111111111,0.333333333,0.296296296,0.333333333,0.242424242,0.181818182,0.242424242,0.210526316,0.368421053,0.210526316,0.210526316,0.142857143,0.333333333,0.285714286,0.238095238,0.28,0.44,0.16,0.12,0.12,0.32,0.28,0.28,0.36,0.24,0.16,0.24,0.32,0.32,0.16,0.2
143,Young,10,1,NoInstruction,100,29,71,0.29,25,25,25,25,7,11,8,3,0.28,0.44,0.32,0.12,0.76,0.68,0.68,0.76,15,1,0,9,19,0,1,5,18,1,1,5,15,1,1,8,19,17,17,19,6,8,8,6,5,0,1,0,0,2,0,6,0,0,1,0,7,0,0,2,1,3,0,0,0.833333333,0,0.166666667,0,0,0.25,0,0.75,0,0,0.125,0,0.875,0,0,0.333333333,0.166666667,0.5,0,0,67,3,3,27,FALSE,0.818181818,9,5,5,8,0.9,0.833333333,0.714285714,0.8,0.223880597,0.28358209,0.268656716,0.223880597,0.333333333,0,0.333333333,0.333333333,0,0.333333333,0.333333333,0.333333333,0.333333333,0.185185185,0.185185185,0.296296296,0.6,0.04,0,0.36,0.76,0,0.04,0.2,0.72,0.04,0.04,0.2,0.6,0.04,0.04,0.32
144,Young,11,1,NoInstruction,100,9,91,0.09,25,25,25,25,3,1,2,3,0.12,0.04,0.08,0.12,0.52,0.52,0.48,0.52,9,5,5,6,3,6,9,7,4,8,6,7,3,8,8,6,13,13,12,13,12,12,13,12,6,0,6,0,0,6,3,3,0,0,6,0,7,0,0,9,0,3,0,0,0.5,0,0.5,0,0,0.5,0.25,0.25,0,0,0.461538462,0,0.538461538,0,0,0.75,0,0.25,0,0,19,27,28,26,FALSE,0.320987654,6,7,7,6,0.375,0.318181818,0.333333333,0.272727273,0.473684211,0.157894737,0.210526316,0.157894737,0.185185185,0.222222222,0.296296296,0.296296296,0.178571429,0.321428571,0.214285714,0.285714286,0.230769231,0.269230769,0.269230769,0.230769231,0.36,0.2,0.2,0.24,0.12,0.24,0.36,0.28,0.16,0.32,0.24,0.28,0.12,0.32,0.32,0.24
145,Young,12,1,NoInstruction,100,19,81,0.19,25,25,25,25,3,2,10,4,0.12,0.08,0.4,0.16,0.52,0.64,0.56,0.64,8,9,3,5,6,9,4,6,16,3,4,2,6,9,3,7,13,16,14,16,12,9,11,9,8,1,3,0,0,6,0,3,0,0,6,0,5,0,0,5,0,4,0,0,0.666666667,0.083333333,0.25,0,0,0.666666667,0,0.333333333,0,0,0.545454545,0,0.454545455,0,0,0.555555556,0,0.444444444,0,0,36,30,14,20,FALSE,0.3125,5,6,2,7,0.294117647,0.315789474,0.222222222,0.368421053,0.222222222,0.166666667,0.444444444,0.166666667,0.3,0.3,0.1,0.3,0.214285714,0.285714286,0.285714286,0.214285714,0.25,0.3,0.1,0.35,0.32,0.36,0.12,0.2,0.24,0.36,0.16,0.24,0.64,0.12,0.16,0.08,0.24,0.36,0.12,0.28
146,Young,13,1,NoInstruction,100,28,72,0.28,25,25,25,25,3,13,4,8,0.12,0.52,0.16,0.32,0.4,0.92,0.72,0.76,14,5,0,6,13,5,0,7,12,5,2,6,15,3,0,7,10,23,18,19,15,2,7,6,13,0,2,0,0,2,0,0,0,0,4,0,3,0,0,2,0,3,1,0,0.866666667,0,0.133333333,0,0,1,0,0,0,0,0.571428571,0,0.428571429,0,0,0.333333333,0,0.5,0.166666667,0,54,18,2,26,FALSE,0.565217391,6,7,6,7,0.545454545,0.583333333,0.461538462,0.7,0.259259259,0.240740741,0.222222222,0.277777778,0.277777778,0.277777778,0.277777778,0.166666667,0,0,1,0,0.230769231,0.269230769,0.230769231,0.269230769,0.56,0.2,0,0.24,0.52,0.2,0,0.28,0.48,0.2,0.08,0.24,0.6,0.12,0,0.28
147,Young,14,1,NoInstruction,100,12,88,0.12,25,25,25,25,3,8,1,0,0.12,0.32,0.04,0,0.68,0.52,0.44,0.56,4,11,2,8,8,9,4,4,2,15,2,6,1,12,5,7,17,13,11,14,8,12,14,11,5,0,3,0,0,6,1,5,0,0,7,0,7,0,0,8,0,2,0,0,0.625,0,0.375,0,0,0.5,0.083333333,0.416666667,0,0,0.5,0,0.5,0,0,0.727272727,0,0.181818182,0,0,15,47,13,25,FALSE,0.294117647,8,4,6,7,0.380952381,0.235294118,0.260869565,0.291666667,0.266666667,0.533333333,0.133333333,0.066666667,0.234042553,0.191489362,0.319148936,0.255319149,0.153846154,0.307692308,0.153846154,0.384615385,0.32,0.16,0.24,0.28,0.16,0.44,0.08,0.32,0.32,0.36,0.16,0.16,0.08,0.6,0.08,0.24,0.04,0.48,0.2,0.28
148,Young,15,1,NoInstruction,100,26,74,0.26,25,25,25,25,10,4,9,3,0.4,0.16,0.36,0.12,0.48,0.76,0.68,0.72,16,7,2,0,13,4,7,1,16,7,0,2,6,10,7,2,12,19,17,18,13,6,8,7,8,0,5,0,0,4,0,2,0,0,3,0,5,0,0,1,0,6,0,0,0.615384615,0,0.384615385,0,0,0.666666667,0,0.333333333,0,0,0.375,0,0.625,0,0,0.142857143,0,0.857142857,0,0,51,28,16,5,FALSE,0.102040816,0,1,2,2,0,0.083333333,0.222222222,0.105263158,0.31372549,0.254901961,0.31372549,0.117647059,0.25,0.142857143,0.25,0.357142857,0.125,0.4375,0,0.4375,0,0.2,0.4,0.4,0.64,0.28,0.08,0,0.52,0.16,0.28,0.04,0.64,0.28,0,0.08,0.24,0.4,0.28,0.08
149,Young,16,1,NoInstruction,100,20,80,0.2,25,25,25,25,3,7,6,4,0.12,0.28,0.24,0.16,0.6,0.72,0.52,0.64,14,6,1,4,12,6,0,7,11,10,1,3,5,11,3,6,15,18,13,16,10,7,12,9,8,0,2,0,0,5,1,1,0,0,3,0,9,0,0,4,2,3,0,0,0.8,0,0.2,0,0,0.714285714,0.142857143,0.142857143,0,0,0.25,0,0.75,0,0,0.444444444,0.222222222,0.333333333,0,0,42,33,5,20,FALSE,0.344827586,4,7,3,6,0.363636364,0.538461538,0.214285714,0.3,0.333333333,0.285714286,0.261904762,0.119047619,0.181818182,0.181818182,0.303030303,0.333333333,0.2,0,0.2,0.6,0.2,0.35,0.15,0.3,0.56,0.24,0.04,0.16,0.48,0.24,0,0.28,0.44,0.4,0.04,0.12,0.2,0.44,0.12,0.24
150,Young,17,1,NoInstruction,100,16,84,0.16,25,25,25,25,2,8,0,6,0.08,0.32,0,0.24,0.44,0.8,0.56,0.56,1,10,6,8,8,4,4,9,8,3,7,7,6,6,5,8,11,20,14,14,14,5,11,11,6,0,8,0,0,4,0,1,0,0,7,0,4,0,0,6,0,4,1,0,0.428571429,0,0.571428571,0,0,0.8,0,0.2,0,0,0.636363636,0,0.363636364,0,0,0.545454545,0,0.363636364,0.090909091,0,23,23,22,32,FALSE,0.415584416,8,9,7,8,0.333333333,0.529411765,0.411764706,0.421052632,0.043478261,0.347826087,0.347826087,0.260869565,0.434782609,0.173913043,0.130434783,0.260869565,0.272727273,0.181818182,0.318181818,0.227272727,0.25,0.28125,0.21875,0.25,0.04,0.4,0.24,0.32,0.32,0.16,0.16,0.36,0.32,0.12,0.28,0.28,0.24,0.24,0.2,0.32
151,Young,18,1,NoInstruction,100,24,77,0.24,25,25,25,25,7,10,5,2,0.28,0.4,0.2,0.08,0.68,0.68,0.64,0.76,9,14,1,1,12,8,3,2,3,14,4,4,4,16,2,3,17,17,16,19,8,8,9,6,5,0,3,0,0,2,1,4,1,0,5,1,3,0,0,3,1,2,0,0,0.625,0,0.375,0,0,0.25,0.125,0.5,0.125,0,0.555555556,0.111111111,0.333333333,0,0,0.5,0.166666667,0.333333333,0,0,28,52,10,10,FALSE,0.138888889,1,2,4,3,0.0625,0.153846154,0.181818182,0.142857143,0.321428571,0.428571429,0.107142857,0.142857143,0.269230769,0.153846154,0.269230769,0.307692308,0.1,0.3,0.4,0.2,0.1,0.2,0.4,0.3,0.36,0.56,0.04,0.04,0.48,0.32,0.12,0.08,0.12,0.56,0.16,0.16,0.16,0.64,0.08,0.12
