,State,AgeGroup,PrimeCondition,N,Percent,sd,se,ci,RetrievalState
9,know,Old,b,36,0.475555556,0.231028068,0.038504678,0.078168652,know
10,know,Old,p,36,0.498888889,0.206297674,0.034382946,0.06980109,know
11,know,Old,r,36,0.457777778,0.211756074,0.035292679,0.071647947,know
12,know,Old,u,36,0.362222222,0.176297008,0.029382835,0.059650326,know
13,know,Young,b,36,0.413333333,0.192665513,0.032110919,0.065188631,know
14,know,Young,p,36,0.445555556,0.2307063,0.03845105,0.078059781,know
15,know,Young,r,36,0.392222222,0.199156953,0.033192826,0.067385018,know
16,know,Young,u,36,0.332222222,0.190474762,0.031745794,0.064447387,know
1,dontknow,Old,b,36,0.395555556,0.225824767,0.037637461,0.076408108,dontknow
2,dontknow,Old,p,36,0.382222222,0.23332517,0.038887528,0.07894588,dontknow
3,dontknow,Old,r,36,0.372222222,0.243182602,0.040530434,0.082281155,dontknow
4,dontknow,Old,u,36,0.458888889,0.231563355,0.038593892,0.078349767,dontknow
5,dontknow,Young,b,36,0.268888889,0.164399822,0.02739997,0.055624897,dontknow
6,dontknow,Young,p,36,0.241111111,0.16212478,0.027020797,0.054855134,dontknow
7,dontknow,Young,r,36,0.252222222,0.17522412,0.02920402,0.059287312,dontknow
8,dontknow,Young,u,36,0.313333333,0.163532435,0.027255406,0.055331415,dontknow
17,other,Old,b,36,0.042222222,0.072155036,0.012025839,0.024413752,other
18,other,Old,p,36,0.051111111,0.070661276,0.011776879,0.023908336,other
19,other,Old,r,36,0.07,0.12184299,0.020307165,0.041225737,other
20,other,Old,u,36,0.051111111,0.061680179,0.01028003,0.02086957,other
21,other,Young,b,36,0.205555556,0.14219593,0.023699322,0.048112181,other
22,other,Young,p,36,0.197777778,0.142770768,0.023795128,0.048306678,other
23,other,Young,r,36,0.241111111,0.141659103,0.023609851,0.047930545,other
24,other,Young,u,36,0.231111111,0.147236986,0.024539498,0.049817829,other
25,TOT,Old,b,36,0.086666667,0.11171392,0.018618987,0.037798553,TOT
26,TOT,Old,p,36,0.067777778,0.084890219,0.01414837,0.028722718,TOT
27,TOT,Old,r,36,0.1,0.114142768,0.019023795,0.038620356,TOT
28,TOT,Old,u,36,0.127777778,0.116253691,0.019375615,0.03933459,TOT
29,TOT,Young,b,36,0.112222222,0.102011515,0.017001919,0.034515731,TOT
30,TOT,Young,p,36,0.115555556,0.076958038,0.01282634,0.026038854,TOT
31,TOT,Young,r,36,0.114444444,0.092286648,0.015381108,0.031225309,TOT
32,TOT,Young,u,36,0.123333333,0.106207344,0.017701224,0.035935395,TOT
