TargetNo,PrimeType,SoundRating,Target,MeaningRating
1,Both,2.894736842,abacus,3.285714286
1,Phonological,5.368421053,abacus,1.952380952
1,Semantic,1.473684211,abacus,4.523809524
2,Both,4.210526316,abdicate,5.19047619
2,Phonological,5.368421053,abdicate,1.428571429
2,Semantic,1.368421053,abdicate,5.19047619
3,Both,3.157894737,abstain,5.952380952
3,Phonological,5.157894737,abstain,3.047619048
3,Semantic,1.526315789,abstain,5.476190476
4,Both,3.473684211,accolade,4.523809524
4,Phonological,5.368421053,accolade,2.095238095
4,Semantic,1.473684211,accolade,3.666666667
5,Both,4.368421053,advocate,3.523809524
5,Phonological,4.210526316,advocate,1.761904762
5,Semantic,1.421052632,advocate,4.19047619
6,Both,3.684210526,Alcott,4.333333333
6,Phonological,4.421052632,Alcott,1.571428571
6,Semantic,1.631578947,Alcott,4.238095238
7,Both,4.684210526,allocation,6.476190476
7,Phonological,5.052631579,allocation,1.523809524
7,Semantic,2.157894737,allocation,6.523809524
8,Both,3.789473684,anachronism,3.714285714
8,Phonological,4.210526316,anachronism,1.857142857
8,Semantic,1.421052632,anachronism,3.19047619
9,Both,4.947368421,anagram,4.142857143
9,Phonological,4.842105263,anagram,3.238095238
9,Semantic,1.421052632,anagram,6.19047619
10,Both,3.157894737,Andes,5.714285714
10,Phonological,3.578947368,Andes,1.047619048
10,Semantic,1.842105263,Andes,5.761904762
11,Both,3.315789474,auspicious,4.523809524
11,Phonological,4.526315789,auspicious,2.714285714
11,Semantic,1.473684211,auspicious,4.428571429
12,Both,4.315789474,banal,4.380952381
12,Phonological,4.894736842,banal,2.476190476
12,Semantic,1.684210526,banal,4.904761905
13,Both,4.526315789,Bangkok,5.047619048
13,Phonological,3.421052632,Bangkok,1.619047619
13,Semantic,1.157894737,Bangkok,5.428571429
14,Both,5,barter,6.19047619
14,Phonological,4.684210526,barter,1.857142857
14,Semantic,2,barter,3.666666667
15,Both,3.105263158,Batista,3.952380952
15,Phonological,3.578947368,Batista,1.619047619
15,Semantic,1.315789474,Batista,4.095238095
16,Both,4.789473684,bewilder,5.857142857
16,Phonological,3.263157895,bewilder,1.619047619
16,Semantic,1.578947368,bewilder,5.523809524
17,Both,4.631578947,binomial,2.714285714
17,Phonological,5.421052632,binomial,2.19047619
17,Semantic,2,binomial,4.095238095
18,Both,3.789473684,Caracas,3.714285714
18,Phonological,4.736842105,Caracas,1.571428571
18,Semantic,1.315789474,Caracas,4.380952381
