,Subject,AgeGroup,StudyNo,PrimeCondition,Accuracy,Question.RESP,Trials,Experiment,Count
1,101,Old,4,R,0,1,12,No Instructions,1
2,101,Old,4,R,1,1,6,No Instructions,1
3,101,Old,4,U,0,1,6,No Instructions,1
4,101,Old,4,U,1,1,6,No Instructions,1
5,102,Old,4,R,0,1,4,No Instructions,1
6,102,Old,4,R,1,1,10,No Instructions,1
7,102,Old,4,U,0,1,3,No Instructions,1
8,102,Old,4,U,1,1,4,No Instructions,1
9,103,Old,4,R,0,1,8,No Instructions,1
10,103,Old,4,R,1,1,7,No Instructions,1
11,103,Old,4,U,0,1,7,No Instructions,1
12,103,Old,4,U,1,1,8,No Instructions,1
13,104,Old,4,R,0,1,8,No Instructions,1
14,104,Old,4,R,1,1,6,No Instructions,1
15,104,Old,4,U,0,1,3,No Instructions,1
16,104,Old,4,U,1,1,9,No Instructions,1
17,105,Old,4,R,1,1,7,No Instructions,1
18,105,Old,4,U,0,1,1,No Instructions,1
19,105,Old,4,U,1,1,13,No Instructions,1
20,106,Old,4,R,0,1,2,No Instructions,1
21,106,Old,4,R,1,1,9,No Instructions,1
22,106,Old,4,U,0,1,2,No Instructions,1
23,106,Old,4,U,1,1,7,No Instructions,1
24,107,Old,4,R,1,1,5,No Instructions,1
25,107,Old,4,U,0,1,2,No Instructions,1
26,107,Old,4,U,1,1,6,No Instructions,1
27,108,Old,4,R,0,1,4,No Instructions,1
28,108,Old,4,R,1,1,9,No Instructions,1
29,108,Old,4,U,0,1,2,No Instructions,1
30,108,Old,4,U,1,1,10,No Instructions,1
31,109,Old,4,R,0,1,21,No Instructions,1
32,109,Old,4,R,1,1,3,No Instructions,1
33,109,Old,4,U,0,1,18,No Instructions,1
34,109,Old,4,U,1,1,6,No Instructions,1
35,110,Old,4,R,0,1,1,No Instructions,1
36,110,Old,4,R,1,1,4,No Instructions,1
37,110,Old,4,U,1,1,3,No Instructions,1
38,111,Old,4,R,0,1,16,No Instructions,1
39,111,Old,4,R,1,1,1,No Instructions,1
40,111,Old,4,U,0,1,8,No Instructions,1
41,112,Old,4,R,0,1,3,No Instructions,1
42,112,Old,4,R,1,1,5,No Instructions,1
43,112,Old,4,U,1,1,9,No Instructions,1
44,113,Old,4,R,1,1,2,No Instructions,1
45,113,Old,4,U,0,1,1,No Instructions,1
46,113,Old,4,U,1,1,4,No Instructions,1
47,114,Old,4,R,0,1,12,No Instructions,1
48,114,Old,4,R,1,1,2,No Instructions,1
49,114,Old,4,U,0,1,8,No Instructions,1
50,114,Old,4,U,1,1,1,No Instructions,1
51,115,Old,4,R,0,1,8,No Instructions,1
52,115,Old,4,R,1,1,1,No Instructions,1
53,115,Old,4,U,0,1,7,No Instructions,1
54,116,Old,4,R,0,1,3,No Instructions,1
55,116,Old,4,R,1,1,1,No Instructions,1
56,116,Old,4,U,0,1,1,No Instructions,1
57,116,Old,4,U,1,1,4,No Instructions,1
58,117,Old,4,R,0,1,10,No Instructions,1
59,117,Old,4,U,0,1,2,No Instructions,1
60,117,Old,4,U,1,1,2,No Instructions,1
61,118,Old,4,R,0,1,9,No Instructions,1
62,118,Old,4,R,1,1,4,No Instructions,1
63,118,Old,4,U,0,1,6,No Instructions,1
64,118,Old,4,U,1,1,1,No Instructions,1
65,119,Old,4,R,0,1,13,No Instructions,1
66,119,Old,4,R,1,1,5,No Instructions,1
67,119,Old,4,U,0,1,7,No Instructions,1
68,119,Old,4,U,1,1,1,No Instructions,1
69,120,Old,4,R,0,1,2,No Instructions,1
70,120,Old,4,R,1,1,2,No Instructions,1
71,120,Old,4,U,1,1,5,No Instructions,1
72,121,Old,4,R,0,1,7,No Instructions,1
73,121,Old,4,U,0,1,4,No Instructions,1
74,121,Old,4,U,1,1,1,No Instructions,1
75,122,Old,4,R,0,1,3,No Instructions,1
76,122,Old,4,R,1,1,5,No Instructions,1
77,122,Old,4,U,0,1,3,No Instructions,1
78,122,Old,4,U,1,1,3,No Instructions,1
79,123,Old,4,R,0,1,4,No Instructions,1
80,123,Old,4,R,1,1,11,No Instructions,1
81,123,Old,4,U,0,1,6,No Instructions,1
82,123,Old,4,U,1,1,3,No Instructions,1
83,124,Old,4,R,0,1,1,No Instructions,1
84,124,Old,4,R,1,1,3,No Instructions,1
85,124,Old,4,U,0,1,1,No Instructions,1
86,124,Old,4,U,1,1,2,No Instructions,1
87,125,Old,4,R,0,1,3,No Instructions,1
