,Subject,AgeGroup,StudyNo,PrimeCondition,Accuracy,Question.RESP,Trials,Experiment,Count
1,9,Young,1,R,0,1,6,Young 48 ms,1
2,9,Young,1,R,1,1,1,Young 48 ms,1
3,9,Young,1,U,0,1,1,Young 48 ms,1
4,9,Young,1,U,1,1,7,Young 48 ms,1
5,10,Young,1,R,0,1,8,Young 48 ms,1
6,10,Young,1,R,1,1,7,Young 48 ms,1
7,10,Young,1,U,0,1,12,Young 48 ms,1
8,10,Young,1,U,1,1,3,Young 48 ms,1
9,11,Young,1,R,0,1,6,Young 48 ms,1
10,11,Young,1,R,1,1,3,Young 48 ms,1
11,11,Young,1,U,0,1,1,Young 48 ms,1
12,11,Young,1,U,1,1,2,Young 48 ms,1
13,12,Young,1,R,0,1,5,Young 48 ms,1
14,12,Young,1,R,1,1,3,Young 48 ms,1
15,12,Young,1,U,0,1,2,Young 48 ms,1
16,12,Young,1,U,1,1,4,Young 48 ms,1
17,13,Young,1,R,0,1,11,Young 48 ms,1
18,13,Young,1,R,1,1,3,Young 48 ms,1
19,13,Young,1,U,0,1,7,Young 48 ms,1
20,13,Young,1,U,1,1,8,Young 48 ms,1
21,14,Young,1,R,0,1,2,Young 48 ms,1
22,14,Young,1,R,1,1,2,Young 48 ms,1
23,14,Young,1,U,0,1,1,Young 48 ms,1
24,15,Young,1,R,0,1,6,Young 48 ms,1
25,15,Young,1,R,1,1,10,Young 48 ms,1
26,15,Young,1,U,0,1,4,Young 48 ms,1
27,15,Young,1,U,1,1,2,Young 48 ms,1
28,16,Young,1,R,0,1,11,Young 48 ms,1
29,16,Young,1,R,1,1,3,Young 48 ms,1
30,16,Young,1,U,0,1,2,Young 48 ms,1
31,16,Young,1,U,1,1,3,Young 48 ms,1
32,17,Young,1,R,1,1,1,Young 48 ms,1
33,17,Young,1,U,0,1,1,Young 48 ms,1
34,17,Young,1,U,1,1,5,Young 48 ms,1
35,18,Young,1,R,0,1,2,Young 48 ms,1
36,18,Young,1,R,1,1,7,Young 48 ms,1
37,18,Young,1,U,0,1,2,Young 48 ms,1
38,18,Young,1,U,1,1,2,Young 48 ms,1
39,19,Young,1,R,0,1,4,Young 48 ms,1
40,19,Young,1,R,1,1,7,Young 48 ms,1
41,19,Young,1,U,0,1,3,Young 48 ms,1
42,19,Young,1,U,1,1,2,Young 48 ms,1
43,20,Young,1,R,0,1,3,Young 48 ms,1
44,20,Young,1,R,1,1,1,Young 48 ms,1
45,20,Young,1,U,0,1,3,Young 48 ms,1
46,20,Young,1,U,1,1,2,Young 48 ms,1
47,21,Young,1,R,0,1,9,Young 48 ms,1
48,21,Young,1,R,1,1,5,Young 48 ms,1
